#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
69,A.J. Minter,ATL,37.1%,96.1,46.5%,88.5,0,0,0,0,16.4%,87.1,0,0,0,0,0
70,Wandy Peralta,- - -,38.2%,96.0,34.5%,88.9,0,0,0,0,27.3%,89.0,0,0,0,0,0
71,Frankie Montas,OAK,65.3%,96.0,18.6%,88.9,0,0,0,0,0,0,16.1%,87.6,0,0,0
72,Lou Trivino,OAK,57.9%,96.0,0,0,22.7%,93.2,11.0%,79.2,8.4%,87.8,0,0,0,0,0
73,Cionel Perez,CIN,63.9%,96.0,26.2%,81.2,0,0,0,0,9.8%,88.9,0,0,0,0,2.2%
74,Johan Oviedo,STL,48.3%,96.0,27.8%,85.3,0,0,15.9%,77.0,7.9%,89.4,0,0,0,0,0
75,Nick Nelson,NYY,48.8%,96.0,10.6%,85.6,0,0,1.8%,80.0,38.8%,89.0,0,0,0,0,0
76,Hansel Robles,MIN,40.1%,96.0,6.8%,88.9,0,0,0,0,0,0,53.1%,88.4,0,0,1.0%
77,Josh Sborz,TEX,59.7%,96.0,21.6%,87.8,0,0,18.8%,82.0,0,0,0,0,0,0,0
78,Luis Castillo,CIN,46.3%,96.0,14.2%,84.5,0,0,0,0,39.4%,86.7,0,0,0,0,0.8%
79,Jordan Sheffield,COL,68.3%,96.0,0.7%,89.0,0,0,17.2%,87.4,13.8%,90.4,0,0,0,0,0
80,Connor Brogdon,PHI,53.2%,95.9,0,0,16.0%,88.1,0,0,30.9%,84.0,0,0,0,0,0
81,Scott Barlow,KCR,34.0%,95.9,42.6%,85.7,0,0,23.4%,79.5,0,0,0,0,0,0,0
82,Trevor May,NYM,62.5%,95.9,18.1%,85.1,0,0,0,0,19.4%,85.9,0,0,0,0,2.5%
83,Alex Lange,DET,48.7%,95.9,0.6%,83.0,0,0,46.8%,84.0,3.8%,87.8,0,0,0,0,0
84,James Karinchak,CLE,70.1%,95.9,0,0,0,0,29.9%,84.0,0,0,0,0,0,0,0
85,Garrett Cleavinger,LAD,67.9%,95.9,32.1%,84.4,0,0,0,0,0,0,0,0,0,0,0
86,Ryan Borucki,TOR,58.3%,95.9,0,0,39.3%,87.2,0,0,2.5%,86.0,0,0,0,0,0
87,Raisel Iglesias,LAA,38.2%,95.8,30.6%,84.4,0,0,0,0,31.2%,89.1,0,0,0,0,0
88,Matt Barnes,BOS,60.3%,95.8,0,0,0,0,39.7%,85.5,0,0,0,0,0,0,0
89,Nate Jones,ATL,61.5%,95.7,37.9%,87.3,0,0,0,0,0.5%,89.0,0,0,0,0,7.1%
90,Dillon Maples,CHC,48.3%,95.7,36.3%,87.5,0,0,15.4%,83.9,0,0,0,0,0,0,0
91,Yoan Lopez,ARI,48.2%,95.7,51.8%,86.3,0,0,0,0,0,0,0,0,0,0,3.0%
92,Trevor Stephan,CLE,56.7%,95.6,39.7%,82.4,0,0,0,0,3.6%,84.9,0,0,0,0,0
93,Keegan Thompson,CHC,8.6%,95.6,1.7%,87.0,63.8%,89.8,20.7%,81.7,0,0,5.2%,86.7,0,0,21.6%
94,Rex Brothers,CHC,63.9%,95.6,36.1%,86.8,0,0,0,0,0,0,0,0,0,0,0
95,Zack Burdi,CHW,36.7%,95.6,44.9%,87.0,0,0,0,0,18.4%,89.2,0,0,0,0,0
96,Yimi Garcia,MIA,47.6%,95.6,19.8%,83.5,27.3%,89.6,0,0,5.3%,87.4,0,0,0,0,0
97,Luke Jackson,ATL,38.7%,95.5,51.3%,87.2,0,0,9.9%,84.1,0,0,0,0,0,0,2.1%
98,Hirokazu Sawamura,BOS,49.8%,95.5,18.8%,86.0,0,0,0,0,0,0,31.4%,91.6,0,0,0.4%
99,Devin Williams,MIL,38.2%,95.5,2.1%,83.0,0,0,0,0,59.7%,83.7,0,0,0,0,0
100,Pierce Johnson,SDP,28.0%,95.5,0,0,0,0,72.0%,84.0,0,0,0,0,0,0,0
101,Zach Pop,MIA,67.7%,95.5,32.3%,84.7,0,0,0,0,0,0,0,0,0,0,0
102,Sam Hentges,CLE,55.2%,95.4,14.5%,86.9,0,0,30.3%,81.1,0,0,0,0,0,0,0.6%
103,Kyle Finnegan,WSN,65.6%,95.4,22.6%,88.1,0,0,0,0,0,0,11.8%,87.7,0,0,0
104,Garrett Whitlock,BOS,62.9%,95.4,3.4%,80.6,0,0,0,0,33.7%,82.6,0,0,0,0,0
105,Enoli Paredes,HOU,65.6%,95.4,26.2%,85.1,0,0,8.2%,81.2,0,0,0,0,0,0,0
106,Jesus Luzardo,OAK,61.8%,95.4,17.4%,83.7,0,0,0.6%,81.0,20.2%,86.5,0,0,0,0,0
107,Taylor Clarke,ARI,52.8%,95.4,27.6%,87.8,0,0,2.0%,79.2,17.5%,88.9,0,0,0,0,0.4%
108,Luis Patino,TBR,57.4%,95.3,30.5%,86.6,0,0,0,0,12.1%,90.3,0,0,0,0,0
109,Sean Newcomb,ATL,66.1%,95.3,19.0%,87.3,0,0,13.2%,79.5,1.7%,89.0,0,0,0,0,0
110,Michael Fulmer,DET,47.6%,95.3,33.2%,89.4,0,0,3.7%,79.9,15.4%,87.8,0,0,0,0,0
111,Taylor Rogers,MIN,48.3%,95.3,51.7%,83.8,0,0,0,0,0,0,0,0,0,0,2.3%
112,Ryan Pressly,HOU,41.2%,95.3,33.9%,90.2,0,0,24.9%,81.8,0,0,0,0,0,0,2.3%
113,Robbie Ray,TOR,60.8%,95.3,17.8%,87.8,0,0,15.9%,82.4,5.5%,87.9,0,0,0,0,0
114,Edgar Santana,ATL,57.9%,95.3,42.1%,87.4,0,0,0,0,0,0,0,0,0,0,0
115,Lucas Gilbreath,COL,33.3%,95.3,66.7%,82.0,0,0,0,0,0,0,0,0,0,0,68.4%
116,Dennis Santana,LAD,49.7%,95.2,27.7%,87.0,0,0,0,0,22.6%,87.1,0,0,0,0,0.6%
